timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1737127078.6444945,1737127083.4810698,1737127083.4815466,1737127087.2473574,1737127087.2477815,"[1737127087.4620976, 1737127087.6620977, 1737127087.8620975, 1737127088.0620975, 1737127088.2620976]",1737127078,2,unified,0.001341104507446289,0.1413438320159912,0.10152554512023926,0.19684457778930664,0.7080681324005127,2.589064121246338
1737127080.2283885,1737127083.4824193,1737127083.4824824,1737127089.192765,1737127089.1931813,"[1737127089.406687, 1737127089.606687, 1737127089.8066869, 1737127090.006687, 1737127090.206687]",1737127080,2,unified,0.0006763935089111328,0.1395578384399414,0.10142707824707031,0.7904291152954102,0.23901867866516113,1.9434821605682373
1737127079.228654,1737127083.4816973,1737127083.4825695,1737127090.9959888,1737127090.996472,"[1737127091.2085183, 1737127091.4085183, 1737127091.6085181, 1737127091.8085182, 1737127092.0085182]",1737127079,2,unified,0.0010306835174560547,0.22668218612670898,0.6207845211029053,0.4400472640991211,0.2347261905670166,1.8044922351837158
1737127081.125849,1737127087.2550943,1737127087.2551775,1737127092.7148256,1737127092.715265,"[1737127092.9268286, 1737127093.1268287, 1737127093.3268285, 1737127093.5268285, 1737127093.7268286]",1737127081,2,unified,0.017720699310302734,0.1446852684020996,0.1183626651763916,1.3969206809997559,0.19864225387573242,1.7236976623535156
1737127082.1238449,1737127089.2002957,1737127089.2003832,1737127094.1800013,1737127094.1804638,"[1737127094.3922217, 1737127094.5922217, 1737127094.7922215, 1737127094.9922216, 1737127095.1922216]",1737127082,2,unified,0.00341796875,0.14812445640563965,0.12658047676086426,0.5833137035369873,0.6773278713226318,1.4593720436096191
1737127083.2306018,1737127091.0035565,1737127091.0036423,1737127095.8134358,1737127095.8138974,"[1737127096.0241318, 1737127096.2241318, 1737127096.4241316, 1737127096.6241317, 1737127096.8241317]",1737127083,2,unified,0.0009436607360839844,0.14884257316589355,0.11101293563842773,1.081756591796875,0.3206603527069092,1.635718822479248
1737127084.2298799,1737127092.7228358,1737127092.7230797,1737127097.395779,1737127097.396218,"[1737127097.6068969, 1737127097.806897, 1737127098.0068967, 1737127098.2068968, 1737127098.4068968]",1737127084,2,unified,0.0007495880126953125,0.14942097663879395,0.10555124282836914,1.0219597816467285,0.16751337051391602,1.582132339477539
1737127085.1205554,1737127094.1876197,1737127094.1877003,1737127098.9331734,1737127098.933598,"[1737127099.1434658, 1737127099.3434658, 1737127099.5434656, 1737127099.7434657, 1737127099.9434657]",1737127085,2,unified,0.014008760452270508,0.1493666172027588,0.09757351875305176,1.157569408416748,0.15873146057128906,1.5209262371063232
1737127086.2295008,1737127095.8208954,1737127095.8209724,1737127100.4119253,1737127100.4124012,"[1737127100.6225889, 1737127100.822589, 1737127101.0225887, 1737127101.2225888, 1737127101.4225888]",1737127086,2,unified,0.019945144653320312,0.1500694751739502,0.09600257873535156,1.1507964134216309,0.14526820182800293,1.4987812042236328
1737127087.2314076,1737127097.4037611,1737127097.4039001,1737127102.009397,1737127102.0106926,"[1737127102.2188747, 1737127102.4188747, 1737127102.6188745, 1737127102.8188746, 1737127103.0188746]",1737127087,2,unified,0.0006928443908691406,0.14513897895812988,0.12002801895141602,1.079688549041748,0.16399788856506348,1.597994089126587
