timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736609782.884484,1736609782.8854792,1736609782.8855867,1736609784.3456948,1736609784.3462205,"[1736609785.5, 1736609786.0]",1736609782,2,unified,0.0008318424224853516,0.05528664588928223,0.11775803565979004,0.10660529136657715,0.5781924724578857,0.5956931114196777
1736609783.3198705,1736609783.3207734,1736609783.3208847,1736609784.853972,1736609784.8544474,"[1736609786.5, 1736609787.0]",1736609783,2,unified,0.38929247856140137,0.05908203125,0.06748723983764648,0.06862807273864746,0.1348857879638672,0.5049488544464111
1736609784.3174086,1736609784.3184283,1736609784.3187673,1736609785.3155282,1736609785.315604,"[1736609787.5, 1736609788.0]",1736609784,2,unified,0.007075071334838867,0.06300973892211914,0.03617143630981445,0.1547558307647705,0.2707843780517578,0.4574563503265381
1736609785.3210747,1736609785.3215678,1736609785.321648,1736609785.8837433,1736609785.883806,"[1736609788.5, 1736609789.0]",1736609785,2,unified,0.0030074119567871094,0.05847024917602539,0.016139984130859375,0.05385875701904297,0.07334351539611816,0.3522329330444336
1736609786.319276,1736609786.319918,1736609786.3199854,1736609786.918423,1736609786.9184992,"[1736609789.5, 1736609790.0]",1736609786,2,unified,0.0007493495941162109,0.06000685691833496,0.01796555519104004,0.05621910095214844,0.07565164566040039,0.38268542289733887
1736609787.3211038,1736609787.3216724,1736609787.321745,1736609787.8685362,1736609787.86862,"[1736609790.5, 1736609791.0]",1736609787,2,unified,0.0008909702301025391,0.05764055252075195,0.01815319061279297,0.051392555236816406,0.07168269157409668,0.3419632911682129
1736609788.3234253,1736609788.3239808,1736609788.324049,1736609788.8443048,1736609788.8443804,"[1736609791.5, 1736609792.0]",1736609788,2,unified,0.0007250308990478516,0.05715131759643555,0.01798725128173828,0.05334734916687012,0.07910847663879395,0.3070948123931885
1736609789.3231785,1736609789.32374,1736609789.3238046,1736609789.9844615,1736609789.9845486,"[1736609792.5, 1736609793.0]",1736609789,2,unified,0.0008847713470458984,0.06181001663208008,0.020494937896728516,0.057642221450805664,0.07547235488891602,0.43839502334594727
1736609790.3232183,1736609790.3237576,1736609790.3238232,1736609790.8891957,1736609790.8892677,"[1736609793.5, 1736609794.0]",1736609790,2,unified,0.0007450580596923828,0.058077096939086914,0.020125389099121094,0.061341285705566406,0.07251882553100586,0.3471066951751709
1736609791.3158243,1736609791.3163817,1736609791.3169029,1736609791.805938,1736609791.80601,"[1736609794.5, 1736609795.0]",1736609791,2,unified,0.0007600784301757812,0.05614662170410156,0.01793646812438965,0.05010223388671875,0.07747149467468262,0.2819633483886719
