timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737032309.8257177, 1737032309.985275, 1737032310.1467462, 1737032310.2945418, 1737032310.4649582, 1737032310.6910648]",1737032310.8516567,1737032310.852254,1737032313.2241418,1737032313.2392259,1737032313.339219,1.0,6,0.832719087600708,0.07220005989074707,0.11198806762695312,0.4377763271331787,0.3222808837890625,0.5101325511932373,"[0.13622403144836426, 0.2170734405517578]",109444,"[5253312, 394824, 643816]","[48.0, 3.6075435839333356, 5.882606629874639]",1737032313
"[1737032310.840176, 1737032310.9894843, 1737032311.1453624, 1737032311.3013594, 1737032311.5330465, 1737032311.6774158]",1737032311.9142292,1737032311.9144928,1737032314.3211443,1737032314.3342366,1737032314.3444471,1.0,6,1.264803409576416,0.033507585525512695,0.10600924491882324,0.2531864643096924,0.25419068336486816,0.34114718437194824,"[0.14733505249023438, 0.21358537673950195]",109909,"[5275632, 394960, 644336]","[48.0, 3.5935182742086633, 5.862449844871667]",1737032314
"[1737032311.8951068, 1737032312.0488877, 1737032312.2098312, 1737032312.4275289, 1737032312.5959673, 1737032312.762259]",1737032312.8682964,1737032312.8684456,1737032315.3851445,1737032315.3983026,1737032315.4175065,1.0,6,1.0760550498962402,0.10802030563354492,0.12186360359191895,0.22333645820617676,0.3034043312072754,0.25089216232299805,"[0.13898849487304688, 0.21771240234375]",107604,"[5164992, 386184, 631720]","[48.0, 3.5889372142299543, 5.8707854726590085]",1737032315
"[1737032312.8333151, 1737032312.9854527, 1737032313.1417952, 1737032313.3648734, 1737032313.5316474, 1737032313.6756456]",1737032313.9588473,1737032313.9590087,1737032316.3517597,1737032316.3602805,1737032316.3757033,1.0,6,0.4564855098724365,0.054468393325805664,0.6705970764160156,0.24848484992980957,0.851701021194458,0.21769070625305176,"[0.13898777961730957, 0.2189321517944336]",105171,"[5048208, 393816, 642200]","[48.0, 3.744530336309439, 6.1062460183891]",1737032316
"[1737032313.9042485, 1737032314.0712187, 1737032314.2282321, 1737032314.3757608, 1737032314.594791, 1737032314.7452183]",1737032314.9466255,1737032314.95901,1737032317.3206894,1737032317.3260763,1737032317.3414023,1.0,6,0.9635121822357178,0.09997034072875977,0.10078954696655273,0.2348947525024414,0.3365483283996582,0.22467589378356934,"[0.11687994003295898, 0.18884682655334473]",103053,"[4946544, 347024, 570288]","[48.0, 3.3674322921215296, 5.533929143256382]",1737032317
"[1737032314.880332, 1737032315.0298452, 1737032315.2287672, 1737032315.3932412, 1737032315.541342, 1737032315.7349415]",1737032315.9213417,1737032315.921914,1737032318.1243374,1737032318.134513,1737032318.1508288,1.0,6,0.4450666904449463,0.06742644309997559,0.5413570404052734,0.20375537872314453,0.713853120803833,0.22789955139160156,"[0.10222125053405762, 0.16082143783569336]",96760,"[4644480, 287376, 479632]","[48.0, 2.9699875981810666, 4.956924348904506]",1737032318
"[1737032315.8757129, 1737032316.0183673, 1737032316.1796598, 1737032316.3808322, 1737032316.54407, 1737032316.7003207]",1737032316.8472338,1737032316.8473315,1737032319.1211174,1737032319.1300178,1737032319.1419141,1.0,6,1.14845871925354,0.1115121841430664,0.12415266036987305,0.21068692207336426,0.31931209564208984,0.23589682579040527,"[0.11837601661682129, 0.18957185745239258]",112013,"[5376624, 341960, 563304]","[48.0, 3.0528599359002975, 5.02891628650246]",1737032319
"[1737032316.8441813, 1737032317.0144937, 1737032317.1750336, 1737032317.3207483, 1737032317.485788, 1737032317.6462882]",1737032317.9622886,1737032318.1108186,1737032319.8734543,1737032319.882956,1737032320.01428,1.0,6,0.3534047603607178,0.07999706268310547,0.05380129814147949,0.6282517910003662,0.7911376953125,0.29393959045410156,"[0.11430811882019043, 0.17269468307495117]",114362,"[5489376, 303584, 502208]","[48.0, 2.6545880624683025, 4.391388748010703]",1737032320
"[1737032317.8729444, 1737032318.051157, 1737032318.1851, 1737032318.4084265, 1737032318.568739, 1737032318.7259333]",1737032318.9288585,1737032319.1018844,1737032320.976392,1737032320.9827497,1737032321.0136778,1.0,6,0.7176432609558105,0.1325678825378418,0.1077115535736084,0.24097919464111328,0.2712841033935547,0.2354574203491211,"[0.11284017562866211, 0.16963815689086914]",108058,"[5186784, 305656, 504472]","[48.0, 2.8286290695737475, 4.6685298635917745]",1737032321
"[1737032318.8987653, 1737032319.043411, 1737032319.2032616, 1737032319.3706603, 1737032319.5493827, 1737032319.7039642]",1737032319.876467,1737032319.8765044,1737032321.769891,1737032321.7770162,1737032322.0107284,1.0,6,0.398543119430542,0.09175872802734375,0.053475141525268555,0.6183128356933594,0.7033472061157227,0.32573771476745605,"[0.11805415153503418, 0.18642926216125488]",113564,"[5451072, 331560, 547144]","[48.0, 2.9195871931245816, 4.817935261174315]",1737032322
