timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609068.6234725, 1736609068.7474122, 1736609068.883201, 1736609069.0288844, 1736609069.1730387, 1736609069.3237076, 1736609069.4679232]",1736609069.6978052,1736609069.6982818,1736609071.697822,1736609071.7087839,1736609071.7903252,1.0,7,0.575171709060669,0.042800188064575195,0.09934163093566895,0.32332801818847656,0.24407339096069336,"[0.5030407905578613, 0.1661052703857422]","[0.04133939743041992, 0.04527902603149414]",60061,"[16, 16, 16]","[0.00026639583090524635, 0.00026639583090524635, 0.00026639583090524635]",1736609071
"[1736609069.6896262, 1736609069.8345182, 1736609069.971278, 1736609070.1015334, 1736609070.2478983, 1736609070.3781097, 1736609070.5724428]",1736609070.644835,1736609070.6450324,1736609072.4943461,1736609072.4991953,1736609072.5143206,1.0,7,0.48296332359313965,0.022877931594848633,0.06874847412109375,0.16541528701782227,0.3416414260864258,"[0.33338284492492676, 0.37197208404541016]","[0.03547978401184082, 0.0501406192779541]",59440,"[16, 16, 16]","[0.00026917900403768504, 0.00026917900403768504, 0.00026917900403768504]",1736609072
"[1736609070.641644, 1736609070.772764, 1736609070.9237168, 1736609071.055519, 1736609071.1916134, 1736609071.3269832, 1736609071.5382664]",1736609071.6976795,1736609071.6979644,1736609073.2316961,1736609073.2369592,1736609073.2493935,1.0,7,0.22763872146606445,0.028630495071411133,0.1541447639465332,0.17912912368774414,0.2799203395843506,"[0.17328119277954102, 0.36159610748291016]","[0.04741263389587402, 0.15190720558166504]",59492,"[16, 16, 16]","[0.0002689437235258522, 0.0002689437235258522, 0.0002689437235258522]",1736609073
"[1736609071.6612396, 1736609071.783053, 1736609071.9575343, 1736609072.0964198, 1736609072.2236114, 1736609072.3703556, 1736609072.491354]",1736609072.6270194,1736609072.6271179,1736609073.878204,1736609073.8859046,1736609074.0106754,1.0,7,0.25097227096557617,0.02466869354248047,0.09140205383300781,0.22550511360168457,0.43276476860046387,"[0.23783349990844727, 0.2273874282836914]","[0.027080774307250977, 0.05341315269470215]",60303,"[16, 16, 16]","[0.0002653267664958626, 0.0002653267664958626, 0.0002653267664958626]",1736609074
"[1736609072.6250975, 1736609072.758382, 1736609072.894208, 1736609073.0255706, 1736609073.159182, 1736609073.3590052, 1736609073.4923813]",1736609073.6262403,1736609073.6263337,1736609074.9449246,1736609074.950505,1736609075.0099542,1.0,7,0.3721771240234375,0.020721912384033203,0.09685707092285156,0.12129592895507812,0.297091007232666,"[0.26467299461364746, 0.2832834720611572]","[0.03236103057861328, 0.05440163612365723]",60413,"[16, 16, 16]","[0.0002648436594772648, 0.0002648436594772648, 0.0002648436594772648]",1736609075
"[1736609073.624823, 1736609073.7646158, 1736609073.9074275, 1736609074.025635, 1736609074.2251933, 1736609074.3578012, 1736609074.4957569]",1736609074.6327505,1736609074.6328287,1736609075.6560068,1736609075.6612396,1736609076.0117233,1.0,7,0.2180802822113037,0.019285202026367188,0.14428353309631348,0.12159466743469238,0.34383273124694824,"[0.2331545352935791, 0.14244818687438965]","[0.026453733444213867, 0.04641580581665039]",59689,"[16, 16, 16]","[0.00026805609073698674, 0.00026805609073698674, 0.00026805609073698674]",1736609076
"[1736609074.6266284, 1736609074.7651556, 1736609074.9091568, 1736609075.0492132, 1736609075.184514, 1736609075.3717122, 1736609075.5099826]",1736609075.6558118,1736609075.6579683,1736609076.627317,1736609076.6309154,1736609077.006357,1.0,7,0.21315312385559082,0.01876354217529297,0.1076500415802002,0.11927151679992676,0.30610060691833496,"[0.23175406455993652, 0.13185691833496094]","[0.024868488311767578, 0.04490780830383301]",59032,"[16, 16, 16]","[0.0002710394362379726, 0.0002710394362379726, 0.0002710394362379726]",1736609077
"[1736609075.6294773, 1736609075.7633393, 1736609075.9221437, 1736609076.1001844, 1736609076.191768, 1736609076.3482854, 1736609076.5009704]",1736609076.6314657,1736609076.6315618,1736609077.7296877,1736609077.738895,1736609078.0117137,1.0,7,0.2135326862335205,0.021760940551757812,0.12503337860107422,0.1575455665588379,0.3354465961456299,"[0.20126771926879883, 0.16556382179260254]","[0.05856657028198242, 0.10509347915649414]",89108,"[16, 16, 16]","[0.00017955739103110832, 0.00017955739103110832, 0.00017955739103110832]",1736609078
"[1736609076.6294768, 1736609076.7648978, 1736609076.9289079, 1736609077.0883915, 1736609077.173891, 1736609077.3331504, 1736609077.474784]",1736609077.7227404,1736609077.727906,1736609079.242406,1736609079.2529736,1736609079.2650826,1.0,7,0.22434043884277344,0.016765832901000977,0.10771870613098145,0.16716432571411133,0.3583865165710449,"[0.2509124279022217, 0.44686269760131836]","[0.062317609786987305, 0.14559698104858398]",89350,"[16, 16, 16]","[0.00017907106883044207, 0.00017907106883044207, 0.00017907106883044207]",1736609079
"[1736609077.6275098, 1736609077.780044, 1736609077.9285283, 1736609078.0678236, 1736609078.1966882, 1736609078.3257585, 1736609078.4926682]",1736609078.6477711,1736609078.6478376,1736609080.396815,1736609080.4008062,1736609080.4129503,1.0,7,0.29343199729919434,0.04368877410888672,0.3017151355743408,0.16190004348754883,0.42772865295410156,"[0.36536240577697754, 0.3146555423736572]","[0.10665440559387207, 0.1356971263885498]",83565,"[16, 16, 16]","[0.00019146771973912522, 0.00019146771973912522, 0.00019146771973912522]",1736609080
"[1736609078.629536, 1736609078.7596323, 1736609078.9187672, 1736609079.0430024, 1736609079.1792018, 1736609079.3590143, 1736609079.4923007]",1736609079.630051,1736609079.6302118,1736609081.3422754,1736609081.3475974,1736609081.3621414,1.0,7,0.4094257354736328,0.029175519943237305,0.14515089988708496,0.30112719535827637,0.41115403175354004,"[0.2956669330596924, 0.2973518371582031]","[0.09086179733276367, 0.12177848815917969]",77100,"[16, 16, 16]","[0.00020752269779507134, 0.00020752269779507134, 0.00020752269779507134]",1736609081
"[1736609079.6279593, 1736609079.7596095, 1736609079.908754, 1736609080.036064, 1736609080.16281, 1736609080.359177, 1736609080.4922931]",1736609080.6276207,1736609080.6276968,1736609082.3235338,1736609082.3273127,1736609082.3404365,1.0,7,0.3819139003753662,0.034108877182006836,0.12657904624938965,0.2825160026550293,0.37569308280944824,"[0.24460124969482422, 0.3938863277435303]","[0.07392525672912598, 0.12224197387695312]",65632,"[16, 16, 16]","[0.00024378352023403217, 0.00024378352023403217, 0.00024378352023403217]",1736609082
"[1736609080.6255102, 1736609080.7622216, 1736609080.893779, 1736609081.024609, 1736609081.1725264, 1736609081.359448, 1736609081.4908493]",1736609081.6265817,1736609081.6266925,1736609083.3315682,1736609083.3365808,1736609083.3567572,1.0,7,0.3261120319366455,0.030999422073364258,0.11250782012939453,0.31707119941711426,0.4889869689941406,"[0.2482743263244629, 0.3951907157897949]","[0.07756328582763672, 0.13515210151672363]",64737,"[16, 16, 16]","[0.0002471538687304015, 0.0002471538687304015, 0.0002471538687304015]",1736609083
