timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609998.1911945, 1736609998.4226093, 1736609998.579014, 1736609998.7537465, 1736609999.0109475]",1736609999.2660375,1736609999.266296,1736610001.978876,1736610001.9915905,1736610002.1061573,1.0,5,0.5564172267913818,0.03488326072692871,0.04852724075317383,0.43041300773620605,0.25548434257507324,"[0.5470595359802246, 0.5856678485870361]","[0.07772397994995117, 0.11852121353149414]",68418,"[16, 16, 16]","[0.00023385658744774768, 0.00023385658744774768, 0.00023385658744774768]",1736610002
"[1736609999.2606723, 1736609999.441002, 1736609999.6411667, 1736609999.8355174, 1736610000.0879683]",1736610000.2648547,1736610000.2655852,1736610003.208599,1736610003.2228956,1736610003.238801,1.0,5,0.6451187133789062,0.04507780075073242,0.14767932891845703,0.3932366371154785,0.3425610065460205,"[0.4745185375213623, 0.4466562271118164]","[0.12798261642456055, 0.17603540420532227]",111030,"[16, 16, 16]","[0.00014410519679365936, 0.00014410519679365936, 0.00014410519679365936]",1736610003
"[1736610000.25956, 1736610000.4475875, 1736610000.6158836, 1736610000.8667462, 1736610001.0368276]",1736610001.2709563,1736610001.272987,1736610004.598986,1736610004.6126618,1736610004.6322157,1.0,5,0.505476713180542,0.03195619583129883,0.23603534698486328,0.26997923851013184,0.33702874183654785,"[0.6672170162200928, 0.3559904098510742]","[0.13609814643859863, 0.22713923454284668]",118017,"[16, 16, 16]","[0.0001355736885363973, 0.0001355736885363973, 0.0001355736885363973]",1736610004
"[1736610001.2007294, 1736610001.380456, 1736610001.554282, 1736610001.756553, 1736610002.0369413]",1736610002.2085316,1736610002.2086487,1736610005.845323,1736610005.8613753,1736610005.8823946,1.0,5,0.539710283279419,0.03839397430419922,0.3347792625427246,0.34703755378723145,0.4210519790649414,"[0.3992631435394287, 0.5425393581390381]","[0.11130857467651367, 0.1888415813446045]",110045,"[16, 16, 16]","[0.00014539506565495935, 0.00014539506565495935, 0.00014539506565495935]",1736610005
"[1736610002.2062314, 1736610002.402436, 1736610002.6164076, 1736610002.795204, 1736610002.9828837]",1736610003.2512536,1736610003.251498,1736610007.1500623,1736610007.1648655,1736610007.186583,1.0,5,0.7405965328216553,0.039908647537231445,0.14300537109375,0.411484956741333,0.27041006088256836,"[0.41928577423095703, 0.5958938598632812]","[0.11106467247009277, 0.17130160331726074]",121999,"[16, 16, 16]","[0.00013114861597226206, 0.00013114861597226206, 0.00013114861597226206]",1736610007
"[1736610003.2484434, 1736610003.4380097, 1736610003.6641564, 1736610003.827586, 1736610004.0812914]",1736610004.2505684,1736610004.2508109,1736610008.5105999,1736610008.519257,1736610008.5349505,1.0,5,0.5634088516235352,0.030951261520385742,0.257493257522583,0.27481985092163086,0.3360629081726074,"[0.7354366779327393, 0.35654211044311523]","[0.1120445728302002, 0.15042519569396973]",116694,"[16, 16, 16]","[0.00013711073405659247, 0.00013711073405659247, 0.00013711073405659247]",1736610008
"[1736610004.2478669, 1736610004.4283736, 1736610004.688488, 1736610004.8473513, 1736610005.0112817]",1736610005.2577856,1736610005.257885,1736610009.5321958,1736610009.539622,1736610009.5583375,1.0,5,0.6320264339447021,0.05183100700378418,0.14215350151062012,0.4398672580718994,0.3436312675476074,"[0.3125734329223633, 0.4310035705566406]","[0.09528684616088867, 0.17438125610351562]",107908,"[16, 16, 16]","[0.00014827445601808947, 0.00014827445601808947, 0.00014827445601808947]",1736610009
"[1736610005.2550628, 1736610005.4401748, 1736610005.643295, 1736610005.8624966, 1736610006.0565898]",1736610006.2453012,1736610006.2454348,1736610010.677029,1736610010.6885784,1736610010.6973238,1.0,5,0.5328648090362549,0.04996323585510254,0.37234044075012207,0.3432645797729492,0.40409111976623535,"[0.3642575740814209, 0.4581623077392578]","[0.12021851539611816, 0.19831252098083496]",139235,"[16, 16, 16]","[0.0001149136352210292, 0.0001149136352210292, 0.0001149136352210292]",1736610010
"[1736610006.2396169, 1736610006.431636, 1736610006.6081443, 1736610006.842999, 1736610007.0584383]",1736610007.2036784,1736610007.2038264,1736610011.913498,1736610011.923939,1736610011.9421558,1.0,5,0.485912561416626,0.02121758460998535,0.27179408073425293,0.21850037574768066,0.3340933322906494,"[0.4119396209716797, 0.5471117496490479]","[0.11847114562988281, 0.154937744140625]",106900,"[16, 16, 16]","[0.00014967259120673526, 0.00014967259120673526, 0.00014967259120673526]",1736610011
"[1736610007.2008123, 1736610007.3730843, 1736610007.5436912, 1736610007.7992184, 1736610008.0163045]",1736610008.5162783,1736610008.5163915,1736610012.9955945,1736610013.0037963,1736610013.023398,1.0,5,0.40036845207214355,0.03198361396789551,0.11474037170410156,0.2772946357727051,0.25002384185791016,"[0.3368234634399414, 0.4745309352874756]","[0.09335708618164062, 0.1720585823059082]",87468,"[16, 16, 16]","[0.0001829240407920611, 0.0001829240407920611, 0.0001829240407920611]",1736610013
