timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,ID
"[1736515347.4606512, 1736515347.6588914, 1736515347.8521178, 1736515348.0285413, 1736515348.2767212]",1736515348.6029577,1736515348.6029732,1736515351.0535614,1736515351.0683303,1736515351.1920063,1.0,5,0.7366330623626709,0.09963607788085938,0.08126473426818848,0.32979249954223633,0.1821281909942627,"[0.438122034072876, 0.41471266746520996]","[0.09934449195861816, 0.18477869033813477]",1736515351
"[1736515348.5224242, 1736515348.6937747, 1736515348.9007351, 1736515349.1617448, 1736515349.353521]",1736515349.6150641,1736515349.6150734,1736515351.8619218,1736515351.871091,1736515352.1965528,1.0,5,0.44525718688964844,0.03288078308105469,0.10220074653625488,0.2915458679199219,0.21555352210998535,"[0.24748468399047852, 0.29670238494873047]","[0.08814024925231934, 0.16330742835998535]",1736515352
"[1736515349.5449493, 1736515349.7058125, 1736515349.9753401, 1736515350.1362205, 1736515350.363527]",1736515350.6050632,1736515350.6050737,1736515352.7416716,1736515352.7491925,1736515353.1949272,1.0,5,0.5456953048706055,0.042443275451660156,0.18218064308166504,0.15221142768859863,0.2501802444458008,"[0.2782778739929199, 0.34641098976135254]","[0.0926973819732666, 0.15863633155822754]",1736515353
"[1736515350.5194125, 1736515350.6862116, 1736515350.887292, 1736515351.1098273, 1736515351.35303]",1736515351.592942,1736515351.592955,1736515353.6588986,1736515353.666669,1736515354.194938,1.0,5,0.4229917526245117,0.02337026596069336,0.2145395278930664,0.22189688682556152,0.26733922958374023,"[0.32976818084716797, 0.33637428283691406]","[0.1050722599029541, 0.1428372859954834]",1736515354
"[1736515351.5197244, 1736515351.7572927, 1736515351.9076962, 1736515352.1548038, 1736515352.3106675]",1736515352.5819716,1736515352.5819857,1736515354.6030142,1736515354.6122458,1736515355.1978502,1.0,5,0.2675483226776123,0.05004692077636719,0.2321019172668457,0.1877293586730957,0.311795711517334,"[0.4224867820739746, 0.2620871067047119]","[0.11219477653503418, 0.1405351161956787]",1736515355
"[1736515352.5014975, 1736515352.7105484, 1736515352.8898354, 1736515353.1144433, 1736515353.268624]",1736515353.6590803,1736515353.659093,1736515355.5904222,1736515355.59626,1736515356.199557,1.0,5,0.24530553817749023,0.02175736427307129,0.26444268226623535,0.15472412109375,0.32554030418395996,"[0.26189351081848145, 0.45147156715393066]","[0.10306763648986816, 0.16461491584777832]",1736515356
"[1736515353.5258214, 1736515353.7506177, 1736515353.9065566, 1736515354.124369, 1736515354.364768]",1736515354.6031475,1736515354.6031551,1736515356.4836054,1736515356.4889128,1736515357.2022521,1.0,5,0.3563408851623535,0.04288005828857422,0.14862966537475586,0.20097589492797852,0.21953725814819336,"[0.25183629989624023, 0.39623475074768066]","[0.09026145935058594, 0.15030407905578613]",1736515357
"[1736515354.5143404, 1736515354.6726792, 1736515354.9159648, 1736515355.1535063, 1736515355.3152494]",1736515355.5879426,1736515355.5879524,1736515357.2433674,1736515357.2553947,1736515358.199246,1.0,5,0.3464221954345703,0.02886343002319336,0.11260485649108887,0.162367582321167,0.17723298072814941,"[0.22800207138061523, 0.29082250595092773]","[0.09758853912353516, 0.13493919372558594]",1736515358
"[1736515355.4692833, 1736515355.7056608, 1736515355.8645113, 1736515356.10036, 1736515356.2776358]",1736515356.5722668,1736515356.5722775,1736515358.0619988,1736515358.0681057,1736515359.2018614,1.0,5,0.40187931060791016,0.016901016235351562,0.2704298496246338,0.12387681007385254,0.31264781951904297,"[0.12436985969543457, 0.2704126834869385]","[0.08892369270324707, 0.14583945274353027]",1736515359
"[1736515356.4918807, 1736515356.6618414, 1736515356.9447093, 1736515357.115534, 1736515357.26814]",1736515357.5366387,1736515357.5366528,1736515358.9329348,1736515358.943146,1736515360.203756,1.0,5,0.23750710487365723,0.022356510162353516,0.2565641403198242,0.15423011779785156,0.3325536251068115,"[0.15572190284729004, 0.21516895294189453]","[0.09161043167114258, 0.1488189697265625]",1736515360
